Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Kucherov, Nikita;TBL;;RW;32;9500000;9500000;UFA;0;0
Point, Brayden;TBL;;C;30;9500000;9500000;9500000;9500000;9500000
Vasilevskiy, Andrei;TBL;;G;31;9500000;9500000;9500000;UFA;0
Guentzel, Jake;TBL;;LW,C;31;9000000;9000000;9000000;9000000;9000000
Hedman, Victor;TBL;;LD;35;8000000;8000000;8000000;8000000;UFA
McDonagh, Ryan;TBL;;LD;36;6750000;4100000;4100000;4100000;UFA
Hagel, Brandon;TBL;;LW;27;6500000;6500000;6500000;6500000;6500000
Cirelli, Anthony;TBL;;C;28;6250000;6250000;6250000;6250000;6250000
Bjorkstrand, Oliver;TBL;;RW;30;5400000;UFA;0;0;0
Cernak, Erik;TBL;;RD;28;5200000;5200000;5200000;5200000;5200000
Moser, Janis Jérôme;TBL;;LD,RD;25;3375000;6750000;6750000;6750000;6750000
Paul, Nick;TBL;;LW,C;30;3150000;3150000;3150000;3150000;UFA
Gourde, Yanni;TBL;;C,LW;34;2333333;2333333;2333333;2333333;2333334
Holmberg, Pontus;TBL;;C,LW;27;1550000;1550000;UFA;0;0
Johansson, Jonas;TBL;;G;30;1250000;1250000;UFA;0;0
Goncalves, Gage;TBL;;LW,RW;25;1200000;1200000;RFA;0;0
Perry, Corey;TBL;;RW,LW;40;1000000;UFA;0;0;0
Raddysh, Darren;TBL;;RD;30;975000;UFA;0;0;0
O'Reilly, Sam;TBL;ELC;C;19;931945;931945;931945;RFA;0
Czata, Ethan;TBL;ELC;C;18;931667;931667;931667;RFA;0
James, Dominic;TBL;ELC;C,LW;23;910000;910000;RFA;0;0
Mercuri, Lucas;TBL;ELC;C;24;896250;896250;RFA;0;0
Geekie, Conor;TBL;ELC;RW,C;21;886666;886666;RFA;0;0
Allard, Tristan;TBL;ELC;;23;872500;872500;RFA;0;0
Meneghin, Harrison;TBL;ELC;G;21;872500;872500;872500;RFA;0
Roelens, Milo;TBL;ELC;C,LW;23;870000;870000;RFA;0;0
Gill, Dyllan;TBL;ELC;D;21;870000;870000;RFA;0;0
Kurth, Connor;TBL;ELC;F;22;870000;870000;RFA;0;0
Szturc, Gabriel;TBL;ELC;C,LW;22;870000;870000;RFA;0;0
Flinton, Robert;TBL;ELC;LW;22;867500;867500;RFA;0;0
Duke, Dylan;TBL;ELC;LW,C;23;867500;867500;RFA;0;0
Groshev, Maxim;TBL;ELC;LD;24;867500;RFA;0;0;0
Girgensons, Zemgus;TBL;;LW,C;32;850000;850000;UFA;0;0
Samson, Ethan;TBL;ELC;D;22;846667;RFA;0;0;0
Gauthier, Ethan;TBL;ELC;RW;21;833333;833333;833333;RFA;0
Lilleberg, Emil;TBL;;LD,RD;25;800000;800000;RFA;0;0
Chaffee, Mitchell;TBL;;RW;28;800000;UFA;0;0;0
Sabourin, Scott;TBL;;RW,LW;33;775000;UFA;0;0;0
Crozier, Maxwell;TBL;;RD;25;775000;775000;775000;UFA;0
Santini, Steven;TBL;;RD;31;775000;775000;UFA;0;0
Carlile, Declan;TBL;;LD;25;775000;0;0;0;0
D'Astous, Charle-Edouard;TBL;;LD;27;775000;875000;UFA;0;0
Lundmark, Simon;TBL;;D;25;775000;775000;RFA;0;0
Abruzzese, Nicholas;TBL;;C,LW;26;775000;UFA;0;0;0
Pelletier, Jakob;TBL;;LW,C;25;775000;775000;775000;UFA;0
Mitchell, Ian;TBL;;D;27;775000;UFA;0;0;0
Fanti, Ryan;TBL;;G;26;775000;0;0;0;0
Halverson, Brandon;TBL;;G;29;775000;UFA;0;0;0
Merela, Waltteri;TBL;;RW;27;RFA;0;0;0;0
Alnefelt, Hugo;TBL;;G;24;RFA;0;0;0;0
